Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Payment Method,Shipping Type,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Customer Segmentation,Seasonal Trends,Delivery Time,Number of Items Purchased
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,PayPal,Store Pickup,10,Bank Transfer,Fortnightly,New,Summer preperation,17,7
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,PayPal,Express,37,Venmo,Fortnightly,VIP,Christmas present,6,9
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Debit Card,Express,31,PayPal,Weekly,Loyal,Summer preperation,28,3
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,PayPal,Free Shipping,34,Debit Card,Weekly,VIP,Back to school,23,9
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Credit Card,Store Pickup,8,PayPal,Monthly,VIP,Christmas present,18,9
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Venmo,Next Day Air,44,Debit Card,Bi-Weekly,New,Summer preperation,26,4
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Debit Card,2-Day Shipping,36,Venmo,Quarterly,New,Pre-fall shopping,23,5
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Bank Transfer,Free Shipping,17,Cash,Weekly,New,Summer preperation,26,2
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Venmo,Standard,46,Debit Card,Bi-Weekly,New,Back to school,2,2
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Credit Card,Express,50,Cash,Every 3 Months,Loyal,Summer preperation,20,9
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Credit Card,Store Pickup,22,Debit Card,Quarterly,Loyal,Summer preperation,9,9
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Cash,Store Pickup,32,Debit Card,Annually,Loyal,Christmas present,7,1
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Credit Card,Express,40,Credit Card,Weekly,New,Back to school,10,8
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Cash,Store Pickup,16,Debit Card,Weekly,New,Back to school,9,5
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Bank Transfer,Express,14,PayPal,Annually,Loyal,Back to school,2,6
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Cash,Next Day Air,13,Credit Card,Annually,New,Christmas present,19,7
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Debit Card,Next Day Air,7,Bank Transfer,Every 3 Months,VIP,Back to school,16,6
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Debit Card,Free Shipping,41,PayPal,Every 3 Months,VIP,Christmas present,14,7
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Venmo,Store Pickup,14,Credit Card,Weekly,VIP,Pre-fall shopping,16,4
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Bank Transfer,Standard,16,Credit Card,Monthly,New,Pre-fall shopping,30,9
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Venmo,Store Pickup,45,Venmo,Monthly,New,Pre-fall shopping,15,7
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Bank Transfer,Free Shipping,37,Venmo,Annually,Loyal,Christmas present,18,1
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Venmo,Store Pickup,45,Cash,Quarterly,New,Summer preperation,24,8
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Debit Card,2-Day Shipping,38,PayPal,Quarterly,Loyal,Summer preperation,7,7
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Bank Transfer,2-Day Shipping,48,Credit Card,Bi-Weekly,Loyal,Back to school,10,2
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Cash,Free Shipping,44,PayPal,Fortnightly,VIP,Christmas present,11,4
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Debit Card,Store Pickup,10,PayPal,Weekly,New,Pre-fall shopping,25,2
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Debit Card,2-Day Shipping,44,Venmo,Every 3 Months,Loyal,Christmas present,21,4
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Bank Transfer,Express,18,Credit Card,Monthly,VIP,Back to school,26,5
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,PayPal,Next Day Air,31,Debit Card,Quarterly,VIP,Pre-fall shopping,26,1
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Cash,Standard,40,Venmo,Annually,New,Pre-fall shopping,17,2
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Bank Transfer,Free Shipping,15,PayPal,Annually,Loyal,Pre-fall shopping,6,1
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,PayPal,Store Pickup,19,PayPal,Fortnightly,Loyal,Summer preperation,16,5
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Bank Transfer,Free Shipping,45,PayPal,Weekly,VIP,Summer preperation,29,3
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Venmo,2-Day Shipping,25,PayPal,Annually,Loyal,Christmas present,9,5
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Venmo,Store Pickup,45,Cash,Quarterly,Loyal,Back to school,22,5
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Debit Card,Free Shipping,36,Cash,Weekly,Loyal,Summer preperation,22,2
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Debit Card,Store Pickup,38,Cash,Monthly,VIP,Christmas present,12,5
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Bank Transfer,Next Day Air,34,Debit Card,Bi-Weekly,New,Pre-fall shopping,12,7
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Cash,Store Pickup,39,Debit Card,Bi-Weekly,Loyal,Pre-fall shopping,4,2
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,PayPal,2-Day Shipping,7,Credit Card,Quarterly,New,Back to school,9,1
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Credit Card,Free Shipping,26,Credit Card,Weekly,VIP,Pre-fall shopping,4,6
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Debit Card,Next Day Air,35,Credit Card,Weekly,VIP,Pre-fall shopping,17,7
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Bank Transfer,Next Day Air,35,Debit Card,Bi-Weekly,VIP,Pre-fall shopping,16,4
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Venmo,2-Day Shipping,49,Credit Card,Annually,Loyal,Pre-fall shopping,11,4
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,PayPal,Store Pickup,46,Credit Card,Weekly,New,Summer preperation,14,8
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,PayPal,Store Pickup,17,Debit Card,Fortnightly,New,Summer preperation,17,1
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Credit Card,Free Shipping,29,Venmo,Monthly,Loyal,Summer preperation,11,8
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Debit Card,Standard,4,Debit Card,Weekly,VIP,Back to school,25,3
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Credit Card,Express,17,Cash,Weekly,Loyal,Christmas present,5,3
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Bank Transfer,Store Pickup,21,Credit Card,Every 3 Months,Loyal,Summer preperation,10,4
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Credit Card,Free Shipping,31,Credit Card,Fortnightly,VIP,Back to school,20,4
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Credit Card,2-Day Shipping,43,Credit Card,Weekly,New,Summer preperation,24,9
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,PayPal,Standard,18,Debit Card,Fortnightly,Loyal,Summer preperation,15,7
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Credit Card,2-Day Shipping,44,Venmo,Every 3 Months,New,Pre-fall shopping,4,9
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Bank Transfer,2-Day Shipping,3,Venmo,Every 3 Months,Loyal,Pre-fall shopping,10,9
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,PayPal,Store Pickup,49,Debit Card,Monthly,New,Summer preperation,6,8
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Credit Card,Next Day Air,21,Cash,Every 3 Months,New,Pre-fall shopping,26,4
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Credit Card,Express,5,Cash,Weekly,Loyal,Back to school,6,5
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Credit Card,Express,32,Debit Card,Every 3 Months,New,Christmas present,17,4
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Debit Card,Express,34,Bank Transfer,Annually,Loyal,Summer preperation,29,7
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Debit Card,Store Pickup,21,Bank Transfer,Every 3 Months,New,Back to school,18,3
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Debit Card,Free Shipping,43,Bank Transfer,Bi-Weekly,Loyal,Back to school,30,8
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,PayPal,Express,3,Cash,Monthly,New,Back to school,8,4
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Debit Card,Free Shipping,21,Credit Card,Annually,New,Pre-fall shopping,23,5
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Bank Transfer,Free Shipping,32,Venmo,Monthly,New,Pre-fall shopping,29,7
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Debit Card,Next Day Air,36,Debit Card,Fortnightly,New,Back to school,12,3
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Venmo,Free Shipping,50,Venmo,Fortnightly,Loyal,Summer preperation,5,6
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Bank Transfer,2-Day Shipping,43,Bank Transfer,Every 3 Months,Loyal,Summer preperation,17,7
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,Credit Card,Store Pickup,24,Credit Card,Every 3 Months,VIP,Summer preperation,9,9
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,PayPal,Express,36,Credit Card,Every 3 Months,New,Summer preperation,9,1
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Bank Transfer,2-Day Shipping,21,Credit Card,Every 3 Months,VIP,Pre-fall shopping,3,5
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Debit Card,Standard,34,Bank Transfer,Weekly,VIP,Christmas present,24,3
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Cash,Standard,42,Bank Transfer,Every 3 Months,VIP,Back to school,5,7
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Credit Card,Next Day Air,2,Debit Card,Bi-Weekly,VIP,Pre-fall shopping,2,6
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Venmo,2-Day Shipping,47,Cash,Bi-Weekly,VIP,Christmas present,23,4
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Debit Card,2-Day Shipping,44,Debit Card,Fortnightly,New,Summer preperation,16,2
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Credit Card,Free Shipping,35,Credit Card,Monthly,New,Christmas present,4,2
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Bank Transfer,Next Day Air,15,Cash,Quarterly,VIP,Back to school,20,3
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Venmo,Express,29,Credit Card,Monthly,New,Pre-fall shopping,12,1
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,PayPal,Standard,18,Credit Card,Every 3 Months,New,Pre-fall shopping,26,2
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Cash,2-Day Shipping,13,Venmo,Every 3 Months,New,Christmas present,29,3
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,PayPal,Standard,46,Credit Card,Weekly,VIP,Pre-fall shopping,2,6
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Bank Transfer,Free Shipping,28,Credit Card,Weekly,New,Pre-fall shopping,20,3
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,PayPal,Free Shipping,48,PayPal,Monthly,New,Christmas present,12,8
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Venmo,Express,43,Venmo,Every 3 Months,VIP,Summer preperation,18,7
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,PayPal,Store Pickup,37,Cash,Annually,New,Christmas present,3,3
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Cash,Next Day Air,20,Bank Transfer,Annually,VIP,Summer preperation,9,3
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Cash,Express,33,Debit Card,Quarterly,VIP,Summer preperation,29,7
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,PayPal,Express,31,Cash,Fortnightly,VIP,Christmas present,20,5
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Venmo,Express,50,Credit Card,Bi-Weekly,New,Christmas present,16,9
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Credit Card,Next Day Air,35,Credit Card,Quarterly,New,Summer preperation,10,4
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Debit Card,Next Day Air,22,Venmo,Bi-Weekly,VIP,Back to school,22,5
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Bank Transfer,2-Day Shipping,1,PayPal,Monthly,VIP,Back to school,22,9
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Bank Transfer,Next Day Air,4,Bank Transfer,Annually,VIP,Summer preperation,28,5
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Cash,Standard,31,Credit Card,Monthly,New,Summer preperation,20,4
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Cash,Next Day Air,46,PayPal,Fortnightly,Loyal,Back to school,11,5
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Bank Transfer,Next Day Air,32,Bank Transfer,Bi-Weekly,Loyal,Back to school,16,4
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Cash,Next Day Air,43,Bank Transfer,Fortnightly,Loyal,Christmas present,29,2
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Bank Transfer,Standard,26,Venmo,Fortnightly,New,Christmas present,25,6
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,PayPal,Free Shipping,9,Credit Card,Annually,VIP,Back to school,9,1
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Credit Card,Free Shipping,28,PayPal,Bi-Weekly,VIP,Summer preperation,13,8
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Debit Card,Next Day Air,20,PayPal,Quarterly,Loyal,Back to school,11,8
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Venmo,Store Pickup,9,Cash,Weekly,VIP,Christmas present,12,2
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Cash,Standard,48,Debit Card,Every 3 Months,New,Summer preperation,30,9
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,PayPal,Free Shipping,12,Venmo,Annually,VIP,Back to school,7,3
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Bank Transfer,Express,29,Cash,Fortnightly,VIP,Back to school,21,4
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Bank Transfer,2-Day Shipping,27,Cash,Bi-Weekly,New,Christmas present,26,3
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Debit Card,Express,44,Cash,Annually,New,Summer preperation,26,7
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,PayPal,Express,32,Bank Transfer,Annually,New,Pre-fall shopping,7,8
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Cash,Standard,11,Cash,Fortnightly,New,Summer preperation,22,8
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Credit Card,2-Day Shipping,44,Cash,Fortnightly,New,Christmas present,14,2
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Debit Card,Free Shipping,46,Cash,Weekly,Loyal,Christmas present,28,9
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,PayPal,Next Day Air,50,PayPal,Annually,New,Christmas present,8,6
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Cash,Next Day Air,45,Venmo,Every 3 Months,VIP,Back to school,24,9
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Bank Transfer,Store Pickup,48,Cash,Every 3 Months,Loyal,Pre-fall shopping,27,5
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Venmo,Next Day Air,26,Credit Card,Weekly,Loyal,Summer preperation,15,2
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Venmo,Standard,21,Credit Card,Fortnightly,Loyal,Pre-fall shopping,28,8
130,24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Cash,2-Day Shipping,49,PayPal,Bi-Weekly,Loyal,Back to school,6,7
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Credit Card,Next Day Air,13,PayPal,Fortnightly,New,Summer preperation,24,5
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,PayPal,Standard,46,Credit Card,Weekly,VIP,Summer preperation,6,6
133,30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Bank Transfer,2-Day Shipping,42,PayPal,Weekly,VIP,Christmas present,2,6
134,52,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Bank Transfer,Next Day Air,25,Venmo,Annually,New,Christmas present,15,4
135,43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Credit Card,Store Pickup,25,Cash,Monthly,VIP,Summer preperation,25,4
136,43,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,PayPal,Express,12,PayPal,Quarterly,Loyal,Christmas present,27,9
137,39,Male,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,Credit Card,Free Shipping,4,Debit Card,Quarterly,VIP,Back to school,3,5
138,68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Cash,Free Shipping,38,PayPal,Weekly,Loyal,Christmas present,12,4
139,68,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Cash,Store Pickup,42,Bank Transfer,Weekly,Loyal,Pre-fall shopping,18,2
140,49,Male,Coat,Outerwear,95,Florida,M,White,Fall,3.8,Debit Card,Store Pickup,30,Venmo,Annually,Loyal,Back to school,3,1
141,63,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Bank Transfer,2-Day Shipping,50,Credit Card,Weekly,Loyal,Summer preperation,4,5
142,56,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,PayPal,Free Shipping,45,PayPal,Weekly,VIP,Christmas present,3,5
143,37,Male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,PayPal,Free Shipping,33,Credit Card,Fortnightly,VIP,Back to school,12,8
144,30,Male,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,Bank Transfer,Store Pickup,25,PayPal,Quarterly,New,Pre-fall shopping,4,6
145,19,Male,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.2,Credit Card,Express,25,Cash,Monthly,New,Pre-fall shopping,21,8
146,24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Venmo,Standard,44,Debit Card,Quarterly,VIP,Pre-fall shopping,24,1
147,52,Male,Skirt,Clothing,30,Colorado,S,Black,Fall,4.0,Debit Card,Standard,21,Venmo,Fortnightly,VIP,Pre-fall shopping,24,8
148,63,Male,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,Bank Transfer,2-Day Shipping,31,Bank Transfer,Fortnightly,VIP,Christmas present,20,4
149,37,Male,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.6,PayPal,Store Pickup,47,Debit Card,Annually,Loyal,Back to school,2,5
150,38,Male,Pants,Clothing,76,Delaware,M,White,Summer,3.2,Venmo,Free Shipping,14,PayPal,Monthly,VIP,Back to school,17,9
151,35,Male,Boots,Footwear,96,California,L,Cyan,Fall,4.9,Bank Transfer,Standard,17,Debit Card,Every 3 Months,Loyal,Back to school,6,6
152,28,Male,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,Debit Card,Next Day Air,3,Venmo,Annually,VIP,Christmas present,6,7
153,30,Male,Shirt,Clothing,85,South Carolina,S,Brown,Summer,4.3,PayPal,Express,42,Venmo,Annually,New,Christmas present,3,4
154,69,Male,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,3.2,Debit Card,Standard,22,Debit Card,Annually,New,Christmas present,17,2
155,41,Male,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,3.6,Debit Card,Next Day Air,21,Venmo,Quarterly,Loyal,Back to school,13,9
156,63,Male,Socks,Clothing,77,Maine,S,Olive,Spring,4.3,Cash,Free Shipping,21,Bank Transfer,Quarterly,New,Back to school,9,9
157,35,Male,Shorts,Clothing,26,Missouri,M,Lavender,Fall,4.0,Venmo,Standard,40,Debit Card,Annually,VIP,Christmas present,26,9
158,36,Male,Hat,Accessories,68,Vermont,S,Yellow,Fall,3.0,Debit Card,Next Day Air,1,Bank Transfer,Fortnightly,Loyal,Pre-fall shopping,4,6
159,25,Male,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,4.1,Bank Transfer,Standard,50,Bank Transfer,Monthly,VIP,Summer preperation,26,8
160,58,Male,Gloves,Accessories,27,New Hampshire,M,Charcoal,Fall,3.8,Debit Card,Store Pickup,39,Bank Transfer,Every 3 Months,VIP,Pre-fall shopping,13,5
161,27,Male,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,Bank Transfer,Free Shipping,34,Venmo,Monthly,New,Pre-fall shopping,25,8
162,65,Male,Backpack,Accessories,49,North Dakota,M,Olive,Fall,3.0,Venmo,Express,29,Venmo,Fortnightly,Loyal,Back to school,23,8
163,54,Male,Sunglasses,Accessories,74,California,M,Turquoise,Summer,3.0,Credit Card,Store Pickup,31,PayPal,Bi-Weekly,VIP,Pre-fall shopping,2,2
164,54,Male,Skirt,Clothing,67,Virginia,M,Purple,Summer,3.4,PayPal,Standard,8,Debit Card,Weekly,New,Back to school,8,8
165,59,Male,Handbag,Accessories,65,Delaware,S,Purple,Spring,2.6,Debit Card,Free Shipping,5,Credit Card,Fortnightly,New,Back to school,25,2
166,42,Male,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,Credit Card,Store Pickup,7,Cash,Monthly,New,Pre-fall shopping,17,8
167,46,Male,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,4.0,Cash,Store Pickup,30,Cash,Monthly,New,Summer preperation,17,9
168,33,Male,Gloves,Accessories,27,Arkansas,M,Green,Fall,4.0,Venmo,Express,14,Credit Card,Every 3 Months,Loyal,Back to school,27,5
169,34,Male,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,3.0,Bank Transfer,Express,5,Cash,Fortnightly,Loyal,Summer preperation,11,4
170,27,Male,Jacket,Outerwear,30,Nevada,S,Gold,Summer,3.3,Credit Card,Standard,3,PayPal,Every 3 Months,New,Christmas present,29,9
171,52,Male,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,2.6,Venmo,Store Pickup,46,Venmo,Bi-Weekly,VIP,Christmas present,9,5
172,29,Male,Shorts,Clothing,35,Virginia,M,Blue,Summer,3.6,Debit Card,Store Pickup,4,Credit Card,Weekly,New,Back to school,10,1
173,54,Male,Jewelry,Accessories,67,Nebraska,M,Violet,Summer,3.9,Bank Transfer,Next Day Air,42,Credit Card,Bi-Weekly,VIP,Pre-fall shopping,15,8
174,25,Male,Hat,Accessories,46,Hawaii,M,Turquoise,Fall,3.4,PayPal,Standard,30,Cash,Annually,VIP,Back to school,23,8
